round_epochs,val_loss,loss,regularizer,Dropout,hidden_layers,hidden_nodes,epochs,patience
176,13.083050071092268,13.121757634768805,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,1,200,1000,10
56,14.217925348508327,14.372365331595779,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,1,75,1000,5
73,13.84018665756588,14.050588428501635,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,0,75,1000,3
39,13.467343083786776,13.674491294783078,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,2,75,1000,3
154,13.640895221981964,13.791237408820527,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,2,200,1000,10
146,12.953509338298385,13.10537284902916,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,0,200,1000,10
164,13.237051946192114,13.405967513675193,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,0,150,1000,10
159,13.327522360869636,13.357138506283441,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,1,200,1000,10
149,13.355842526166608,13.403731729544168,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,2,200,1000,10
112,13.662429145269469,13.659558301603807,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,0,150,1000,5
160,13.311776022797838,13.235608435703162,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,0,75,1000,10
58,13.072110022592671,13.174595831744668,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,2,200,1000,10
104,13.53369908093777,13.043354763450061,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,2,200,1000,10
53,14.168701340466502,13.964369857027739,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,2,150,1000,3
97,12.793992486666879,13.024692898293448,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,1,75,1000,5
47,13.350254848953288,12.96539134698438,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,2,150,1000,3
122,13.616009923587688,13.918416634556392,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,0,75,1000,5
70,13.589412309249033,13.435028827878924,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,1,150,1000,3
19,13.745656949549048,13.938730197746649,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,1,150,1000,3
112,13.02132576562484,12.914271758609829,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,1,75,1000,10
88,13.544814675967737,13.5814972615053,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,1,150,1000,5
115,13.115825738630068,13.286273246713295,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,0,150,1000,5
152,13.446291752415156,12.932442860587132,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,2,150,1000,10
386,13.195339150038746,13.29210380411634,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,0,150,1000,10
19,13.924735310838845,13.680630365287461,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,2,200,1000,3
108,13.769644626526846,13.634851092795419,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,2,200,1000,5
59,14.37328442294239,14.434731928435484,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,2,150,1000,5
87,13.529277897132733,13.320768018811098,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,1,150,1000,5
121,13.842015354488645,14.098662873221686,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,2,75,1000,5
176,12.828607919033725,12.946868978567329,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,0,150,1000,10
52,13.325264515537071,13.382207181418604,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,1,75,1000,3
132,13.313551563071702,13.45016518049575,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,1,75,1000,10
18,14.083342640255246,13.92506178859136,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,2,200,1000,3
123,13.10087475990557,13.382046052580646,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,0,150,1000,5
88,13.500352393983222,13.135475075528413,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,2,150,1000,5
47,14.410531469259539,14.441172021971688,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,1,150,1000,3
183,13.5551544732972,13.815501556526089,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,0,75,1000,10
91,13.697087224995554,13.741725264967231,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,0,150,1000,3
118,13.534335705095357,13.735100053849873,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,0,200,1000,3
64,13.639531246275888,13.94531558999119,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,0,75,1000,3
172,13.277147980038283,13.40957641169547,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,1,75,1000,10
55,13.161719186324872,13.072534646480296,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,1,75,1000,5
48,14.000605746749837,14.15179327579209,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,2,75,1000,3
47,13.201399279773078,12.990222433010286,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,1,150,1000,3
39,14.334784746799116,14.400547918619953,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,1,75,1000,3
85,13.962343741847217,14.12559109014941,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,1,200,1000,5
118,13.839318703221142,14.281177131937962,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,2,75,1000,10
44,13.291158107465678,13.156149372779094,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,2,150,1000,5
79,13.960243147092633,14.309655982262687,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,2,75,1000,5
49,13.800497460176574,13.684009035743376,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,2,75,1000,3
107,13.597520392928715,13.859498100669576,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,2,75,1000,10
135,13.259586424814994,13.346776592906982,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,0,150,1000,5
62,13.22168688912505,12.749299927449037,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,1,150,1000,5
78,13.482244247496915,13.5182438577153,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,1,75,1000,3
134,13.372769582240123,13.32454426075297,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,2,200,1000,10
54,12.990560828538557,12.415167659487352,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,2,150,1000,10
83,13.677541093650154,13.800803920015744,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,2,75,1000,5
77,13.56217297777966,14.009977108489887,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,0,200,1000,5
87,13.299926866013017,13.817064278798087,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,0,75,1000,5
